QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
junit5-2017-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.junit.jupiter.api,org.junit.jupiter.api,low-medium,low-medium,medium-high,low,,,,,,406,898,,,,,,,,,,,,25,16,9,898,0,7,0.36,1,0.36,406,,,,,,
org.junit.jupiter.api.AfterAll,AfterAll,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,0,,,,,,
org.junit.jupiter.api.AfterEach,AfterEach,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,0,,,,,,
org.junit.jupiter.api.AssertAll,AssertAll,low,low,low,low,2,13,7,1,0,7,22,21,0,0,0,4,0,0,0.375,0,0,0,,,,22,,,,,,7,,,,,,
<Method>org.junit.jupiter.api.AssertAll.static assertAll( Executable ): void,static assertAll( Executable ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
<Method>org.junit.jupiter.api.AssertAll.static assertAll( Stream ): void,static assertAll( Stream ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.jupiter.api.AssertAll.static assertAll( String, Executable ): void","static assertAll( String, Executable ): void",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,4,0
"<Method>org.junit.jupiter.api.AssertAll.static assertAll( String, Stream ): void","static assertAll( String, Stream ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,13,2,2,0
org.junit.jupiter.api.AssertArrayEquals,AssertArrayEquals,high,low,low-medium,medium-high,2,100,44,1,0,111,226,225,0,0,0,51,0,0,0.763,0,0,0,,,,226,,,,,,111,,,,,,
"<Method>org.junit.jupiter.api.AssertArrayEquals.private static assertArrayElementsEqual( Object, Object, Deque, Supplier ): void","static assertArrayElementsEqual( Object, Object, Deque, Supplier ): void",high,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,27,4,15,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( Object, Object ): void","static assertArrayEquals( Object, Object ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.private static assertArrayEquals( Object, Object, Deque, Supplier ): void","static assertArrayEquals( Object, Object, Deque, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,14,4,5,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( Object, Object, String ): void","static assertArrayEquals( Object, Object, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( Object, Object, Supplier ): void","static assertArrayEquals( Object, Object, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( boolean, boolean ): void","static assertArrayEquals( boolean, boolean ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.private static assertArrayEquals( boolean, boolean, Deque, Supplier ): void","static assertArrayEquals( boolean, boolean, Deque, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,9,4,4,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( boolean, boolean, String ): void","static assertArrayEquals( boolean, boolean, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( boolean, boolean, Supplier ): void","static assertArrayEquals( boolean, boolean, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( byte, byte ): void","static assertArrayEquals( byte, byte ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.private static assertArrayEquals( byte, byte, Deque, Supplier ): void","static assertArrayEquals( byte, byte, Deque, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,9,4,4,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( byte, byte, String ): void","static assertArrayEquals( byte, byte, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( byte, byte, Supplier ): void","static assertArrayEquals( byte, byte, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( char, char ): void","static assertArrayEquals( char, char ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.private static assertArrayEquals( char, char, Deque, Supplier ): void","static assertArrayEquals( char, char, Deque, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,9,4,4,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( char, char, String ): void","static assertArrayEquals( char, char, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,0
