QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
2 junit5-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>,,low,low,low,low,,,,,,1,16,,,,,,,,,,,,4,4,0,16,0,0,0,1,0,1,,,,,,
JavaLibraryExtension,JavaLibraryExtension,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,0,,,,,,
License,License,low,low,low,low,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,1,,,,,,1,,,,,,
<Method>License.public hashCode( ): int,hashCode( ): int,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Versions,Versions,low,low,low,low,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,,,,11,,,,,,0,,,,,,
Versions.Companion,Companion,low,low,low,low,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,0,,,,,,
<Field>Versions->Companion,static final Companion : Companion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.example.project,com.example.project,low,low,low,low,,,,,,1,3,,,,,,,,,,,,1,1,0,3,0,0,0,1,0,1,,,,,,
com.example.project.Calculator,Calculator,low,low,low,low,0,1,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
"<Method>com.example.project.Calculator.public add( int, int ): int","add( int, int ): int",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
<Package>example.domain,example.domain,low,low,low,low,,,,,,4,52,,,,,,,,,,,,2,2,0,52,0,0,0,1,0,4,,,,,,
example.domain.Person,Person,low,low,low-medium,low,0,2,0,0,0,4,52,9,1,0,2,0,0,0,0,1,0,0,,,,52,,,,,,4,,,,,,
example.domain.Person.Gender,Gender,low,low,low,low,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,,,,2,,,,,,0,,,,,,
<Method>example.domain.Person.public getGender( ): Gender,getGender( ): Gender,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>example.domain.Person.public hashCode( ): int,hashCode( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,7,0,0,0
<Field>example.domain.Person->gender,gender : Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>example.registration,example.registration,low,low,low,low,,,,,,4,18,,,,,,,,,,,,4,4,0,18,0,0,0,1,0,4,,,,,,
example.registration.WebClient,WebClient,low,low,low,low,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,0,,,,,,
example.registration.WebResponse,WebResponse,low,low,low,low,0,1,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>example.registration.WebResponse.public getResponseStatus( ): int,getResponseStatus( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
example.registration.WebServerExtension,WebServerExtension,low,low,low,low,0,1,0,0,0,1,12,2,0,0,0,1,0,0,0,0,0,0,,,,12,,,,,,1,,,,,,
example.registration.WebServerExtension.Builder,Builder,low,low,low,low,0,2,0,0,0,2,5,4,0,0,2,0,0,0,0.25,0,0,0,,,,5,,,,,,2,,,,,,
<Method>example.registration.WebServerExtension.public static builder( ): Builder,static builder( ): Builder,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Package>example.util,example.util,low,low,low,low,,,,,,4,22,,,,,,,,,,,,3,3,0,22,0,0,0,1,0,4,,,,,,
example.util.Calculator,Calculator,low,low,low,low,0,4,0,0,0,4,9,8,0,0,4,0,0,0,0,0,0,0,,,,9,,,,,,4,,,,,,
"<Method>example.util.Calculator.public add( int, int ): int","add( int, int ): int",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>example.util.Calculator.public divide( int, int ): int","divide( int, int ): int",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>example.util.Calculator.public multiply( int, int ): int","multiply( int, int ): int",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>example.util.Calculator.public subtract( int, int ): int","subtract( int, int ): int",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
example.util.ListWriter,ListWriter,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,0,,,,,,
example.util.StringUtils,StringUtils,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,7,,,,,,0,,,,,,
<Package>org.junit.gradle.javadoc,org.junit.gradle.javadoc,low,low,low,low,,,,,,0,13,,,,,,,,,,,,1,1,0,13,0,0,0,1,0,0,,,,,,
org.junit.gradle.javadoc.ModuleSpecificJavadocFileOption,ModuleSpecificJavadocFileOption,low,low,low,low,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,,,,13,,,,,,0,,,,,,
<Package>org.junit.jupiter.api,org.junit.jupiter.api,low,low,very-high,low,,,,,,119,1947,,,,,,,,,,,,46,28,18,1947,0,0,0.413,1,0.413,119,,,,,,
org.junit.jupiter.api.AfterAll,AfterAll,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,0,,,,,,
org.junit.jupiter.api.AfterEach,AfterEach,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,0,,,,,,
org.junit.jupiter.api.AssertAll,AssertAll,low,low,low,low,0,1,0,0,0,1,34,1,0,0,1,0,0,0,0,0,0,0,,,,34,,,,,,1,,,,,,
<Method>org.junit.jupiter.api.AssertAll.private AssertAll( ): void,AssertAll( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.junit.jupiter.api.AssertArrayEquals,AssertArrayEquals,low,low,low-medium,medium-high,0,11,0,0,0,11,227,21,0,0,1,10,0,0,0.788,0,0,0,,,,227,,,,,,11,,,,,,
<Method>org.junit.jupiter.api.AssertArrayEquals.private AssertArrayEquals( ): void,AssertArrayEquals( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( boolean, boolean ): void","static assertArrayEquals( boolean, boolean ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( byte, byte ): void","static assertArrayEquals( byte, byte ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( char, char ): void","static assertArrayEquals( char, char ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( double, double ): void","static assertArrayEquals( double, double ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( double, double, double ): void","static assertArrayEquals( double, double, double ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,0,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( float, float ): void","static assertArrayEquals( float, float ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
